 Sample #,Start Time,Thread Name,Label,Sample Time (ms),Status,Bytes,Sent Bytes,Latency,Connect Time (ms)
1,51:45.9,Thread Group 1-2,HTTP Request,1156,Success,19902,116,1086,690
2,51:46.5,Thread Group 1-3,HTTP Request,555,Success,19902,116,485,92
3,51:45.5,Thread Group 1-1,HTTP Request,1498,Success,19902,116,1428,1032
4,51:47.1,Thread Group 1-4,HTTP Request,212,Success,19906,116,169,117
5,51:47.1,Thread Group 1-3,HTTP Request,202,Success,19902,116,163,109
6,51:47.1,Thread Group 1-1,HTTP Request,203,Success,19906,116,171,114
7,51:47.1,Thread Group 1-2,HTTP Request,414,Success,19902,116,378,116
8,51:47.3,Thread Group 1-4,HTTP Request,422,Success,19902,116,388,131
9,51:47.3,Thread Group 1-1,HTTP Request,425,Success,19902,116,398,123
10,51:47.3,Thread Group 1-3,HTTP Request,439,Success,19902,116,409,129
11,51:47.5,Thread Group 1-2,HTTP Request,368,Success,19902,116,353,97
12,51:47.7,Thread Group 1-5,HTTP Request,346,Success,19902,116,334,83
13,51:47.9,Thread Group 1-2,HTTP Request,158,Success,19902,116,148,97
14,51:47.7,Thread Group 1-4,HTTP Request,342,Success,19902,116,330,79
15,51:47.7,Thread Group 1-1,HTTP Request,356,Success,19902,116,335,79
16,51:47.7,Thread Group 1-3,HTTP Request,646,Success,19902,116,642,102
17,51:48.0,Thread Group 1-5,HTTP Request,440,Success,19906,116,424,362
18,51:48.0,Thread Group 1-2,HTTP Request,435,Success,19902,116,413,360
19,51:48.1,Thread Group 1-4,HTTP Request,438,Success,19902,116,433,388
20,51:48.3,Thread Group 1-6,HTTP Request,232,Success,19902,116,224,185
21,51:48.5,Thread Group 1-5,HTTP Request,184,Success,19902,116,143,90
22,51:48.1,Thread Group 1-1,HTTP Request,666,Success,19902,116,636,374
23,51:48.4,Thread Group 1-3,HTTP Request,378,Success,19902,116,370,90
24,51:48.5,Thread Group 1-6,HTTP Request,363,Success,19902,116,345,81
25,51:48.5,Thread Group 1-4,HTTP Request,373,Success,19902,116,370,88
26,51:48.9,Thread Group 1-7,HTTP Request,199,Success,19902,116,151,102
27,51:48.6,Thread Group 1-5,HTTP Request,427,Success,19902,116,416,110
28,51:48.9,Thread Group 1-6,HTTP Request,210,Success,19906,116,203,111
29,51:49.1,Thread Group 1-6,HTTP Request,129,Success,19902,116,121,78
30,51:49.1,Thread Group 1-7,HTTP Request,210,Success,19902,116,194,116
31,51:49.1,Thread Group 1-5,HTTP Request,209,Success,19902,116,176,113
32,51:49.3,Thread Group 1-7,HTTP Request,169,Success,19902,116,133,91
33,51:49.2,Thread Group 1-6,HTTP Request,379,Success,19902,116,371,114
34,51:49.4,Thread Group 1-7,HTTP Request,419,Success,19902,116,402,141
35,51:49.5,Thread Group 1-8,HTTP Request,440,Success,19934,116,436,126
36,51:49.9,Thread Group 1-8,HTTP Request,230,Success,19902,116,180,121
37,51:50.1,Thread Group 1-9,HTTP Request,233,Success,19902,116,171,97
38,51:49.9,Thread Group 1-7,HTTP Request,475,Success,19906,116,418,100
39,51:50.3,Thread Group 1-9,HTTP Request,195,Success,19906,116,155,108
40,51:50.1,Thread Group 1-8,HTTP Request,524,Success,19902,116,439,105
41,51:50.5,Thread Group 1-9,HTTP Request,284,Success,19906,116,272,223
42,51:50.7,Thread Group 1-8,HTTP Request,189,Success,19906,116,160,94
43,51:50.7,Thread Group 1-10,HTTP Request,200,Success,19902,116,161,93
44,51:50.8,Thread Group 1-9,HTTP Request,189,Success,19902,116,178,127
45,51:51.0,Thread Group 1-9,HTTP Request,182,Success,19902,116,144,92
46,51:50.8,Thread Group 1-8,HTTP Request,364,Success,19906,116,356,96
47,51:50.9,Thread Group 1-10,HTTP Request,376,Success,19906,116,365,108
48,51:51.2,Thread Group 1-10,HTTP Request,196,Success,19906,116,161,112
49,51:51.3,Thread Group 1-11,HTTP Request,184,Success,19902,116,148,97
50,51:51.4,Thread Group 1-11,HTTP Request,145,Success,19902,116,137,92
51,51:51.4,Thread Group 1-10,HTTP Request,370,Success,19902,116,367,89
52,51:51.6,Thread Group 1-11,HTTP Request,383,Success,19902,116,364,95
53,51:51.8,Thread Group 1-10,HTTP Request,175,Success,19902,116,137,96
54,51:51.9,Thread Group 1-12,HTTP Request,154,Success,19906,116,124,83
55,51:52.0,Thread Group 1-11,HTTP Request,534,Success,19902,116,490,83
56,51:52.0,Thread Group 1-12,HTTP Request,498,Success,19902,116,454,90
57,51:52.5,Thread Group 1-13,HTTP Request,170,Success,19906,116,138,90
58,51:52.5,Thread Group 1-11,HTTP Request,153,Success,19906,116,123,74
59,51:52.5,Thread Group 1-12,HTTP Request,155,Success,19906,116,129,87
60,51:52.7,Thread Group 1-12,HTTP Request,152,Success,19906,116,126,82
61,51:52.6,Thread Group 1-13,HTTP Request,394,Success,19902,116,359,93
62,51:52.8,Thread Group 1-12,HTTP Request,199,Success,19906,116,163,108
63,51:53.0,Thread Group 1-13,HTTP Request,199,Success,19906,116,163,96
64,51:53.1,Thread Group 1-14,HTTP Request,196,Success,19902,116,159,103
65,51:53.2,Thread Group 1-13,HTTP Request,181,Success,19902,116,152,103
66,51:53.3,Thread Group 1-14,HTTP Request,187,Success,19906,116,158,96
67,51:53.4,Thread Group 1-13,HTTP Request,133,Success,19902,116,133,80
68,51:53.4,Thread Group 1-14,HTTP Request,383,Success,19902,116,351,92
69,51:53.7,Thread Group 1-15,HTTP Request,211,Success,19902,116,170,118
70,51:53.8,Thread Group 1-14,HTTP Request,188,Success,19902,116,148,93
71,51:53.9,Thread Group 1-15,HTTP Request,172,Success,19906,116,144,99
72,51:54.0,Thread Group 1-14,HTTP Request,329,Success,19902,116,305,89
73,51:54.0,Thread Group 1-15,HTTP Request,422,Success,19902,116,302,268
74,51:54.3,Thread Group 1-16,HTTP Request,286,Success,19902,116,209,143
75,51:54.5,Thread Group 1-15,HTTP Request,194,Success,19902,116,152,102
76,51:54.5,Thread Group 1-16,HTTP Request,178,Success,19902,116,146,91
77,51:54.7,Thread Group 1-15,HTTP Request,180,Success,19902,116,149,102
78,51:54.9,Thread Group 1-17,HTTP Request,243,Success,19902,116,159,104
79,51:54.7,Thread Group 1-16,HTTP Request,407,Success,19906,116,377,87
80,51:55.1,Thread Group 1-17,HTTP Request,191,Success,19902,116,143,89
81,51:55.1,Thread Group 1-16,HTTP Request,191,Success,19902,116,154,99
82,51:55.3,Thread Group 1-17,HTTP Request,249,Success,19902,116,154,103
83,51:55.3,Thread Group 1-16,HTTP Request,284,Success,19902,116,216,98
84,51:55.5,Thread Group 1-18,HTTP Request,269,Success,19902,116,260,157
85,51:55.7,Thread Group 1-18,HTTP Request,149,Success,19902,116,143,84
86,51:55.5,Thread Group 1-17,HTTP Request,442,Success,19906,116,432,176
87,51:55.9,Thread Group 1-18,HTTP Request,196,Success,19902,116,158,112
88,51:56.0,Thread Group 1-17,HTTP Request,503,Success,19902,116,476,97
89,51:56.1,Thread Group 1-19,HTTP Request,442,Success,19902,116,410,86
90,51:56.1,Thread Group 1-18,HTTP Request,443,Success,19902,116,391,97
91,51:56.5,Thread Group 1-19,HTTP Request,167,Success,19906,116,139,84
92,51:56.7,Thread Group 1-20,HTTP Request,287,Success,19906,116,259,114
93,51:56.7,Thread Group 1-19,HTTP Request,280,Success,19902,116,252,141
94,51:56.5,Thread Group 1-18,HTTP Request,439,Success,19906,116,409,94
95,51:57.0,Thread Group 1-19,HTTP Request,150,Success,19902,116,120,80
96,51:57.1,Thread Group 1-19,HTTP Request,224,Success,19902,116,176,124
97,51:56.9,Thread Group 1-20,HTTP Request,407,Success,19902,116,373,84
98,51:57.3,Thread Group 1-21,HTTP Request,186,Success,19902,116,151,96
99,51:57.4,Thread Group 1-20,HTTP Request,173,Success,19906,116,159,97
100,51:57.5,Thread Group 1-21,HTTP Request,170,Success,19902,116,141,92
101,51:57.5,Thread Group 1-20,HTTP Request,185,Success,19906,116,154,94
102,51:57.6,Thread Group 1-21,HTTP Request,405,Success,19902,116,374,109
103,51:57.9,Thread Group 1-22,HTTP Request,173,Success,19902,116,139,93
104,51:57.7,Thread Group 1-20,HTTP Request,447,Success,19902,116,429,152
105,51:58.0,Thread Group 1-21,HTTP Request,193,Success,19902,116,161,121
106,51:58.2,Thread Group 1-21,HTTP Request,188,Success,19906,116,158,93
107,51:58.0,Thread Group 1-22,HTTP Request,398,Success,19902,116,366,116
108,51:58.4,Thread Group 1-22,HTTP Request,201,Success,19902,116,167,119
109,51:58.5,Thread Group 1-23,HTTP Request,174,Success,19902,116,145,93
110,51:58.7,Thread Group 1-23,HTTP Request,190,Success,19902,116,149,100
111,51:58.7,Thread Group 1-22,HTTP Request,405,Success,19902,116,367,100
112,51:59.1,Thread Group 1-24,HTTP Request,178,Success,19906,116,148,96
113,51:58.8,Thread Group 1-23,HTTP Request,395,Success,19902,116,365,101
114,51:59.2,Thread Group 1-24,HTTP Request,185,Success,19902,116,151,103
115,51:59.1,Thread Group 1-22,HTTP Request,393,Success,19902,116,357,94
116,51:59.2,Thread Group 1-23,HTTP Request,393,Success,19902,116,364,102
117,51:59.6,Thread Group 1-23,HTTP Request,190,Success,19906,116,162,91
118,51:59.4,Thread Group 1-24,HTTP Request,402,Success,19902,116,376,96
119,51:59.7,Thread Group 1-25,HTTP Request,188,Success,19902,116,151,94
120,51:59.8,Thread Group 1-24,HTTP Request,195,Success,19902,116,161,107
121,51:59.8,Thread Group 1-25,HTTP Request,176,Success,19902,116,149,104
122,52:00.0,Thread Group 1-24,HTTP Request,186,Success,19902,116,155,106
123,52:00.0,Thread Group 1-25,HTTP Request,190,Success,19902,116,163,105
124,52:00.3,Thread Group 1-26,HTTP Request,156,Success,19902,116,129,78
125,52:00.4,Thread Group 1-26,HTTP Request,153,Success,19902,116,142,84
126,52:00.2,Thread Group 1-25,HTTP Request,379,Success,19902,116,341,88
127,52:00.6,Thread Group 1-26,HTTP Request,398,Success,19902,116,381,112
128,52:00.6,Thread Group 1-25,HTTP Request,375,Success,19902,116,360,93
129,52:00.9,Thread Group 1-27,HTTP Request,169,Success,19902,116,164,116
130,52:01.0,Thread Group 1-26,HTTP Request,161,Success,19902,116,152,91
131,52:01.0,Thread Group 1-27,HTTP Request,152,Success,19902,116,144,100
132,52:01.1,Thread Group 1-26,HTTP Request,144,Success,19902,116,137,78
133,52:01.2,Thread Group 1-27,HTTP Request,156,Success,19902,116,145,99
134,52:01.5,Thread Group 1-28,HTTP Request,169,Success,19902,116,160,107
135,52:01.3,Thread Group 1-27,HTTP Request,392,Success,19906,116,377,89
136,52:01.6,Thread Group 1-28,HTTP Request,165,Success,19902,116,164,110
137,52:01.8,Thread Group 1-28,HTTP Request,159,Success,19902,116,130,78
138,52:01.7,Thread Group 1-27,HTTP Request,378,Success,19902,116,348,91
139,52:02.1,Thread Group 1-29,HTTP Request,169,Success,19902,116,141,84
140,52:02.0,Thread Group 1-28,HTTP Request,426,Success,19902,116,397,94
141,52:02.2,Thread Group 1-29,HTTP Request,214,Success,19902,116,186,138
142,52:02.4,Thread Group 1-28,HTTP Request,219,Success,19902,116,177,120
143,52:02.4,Thread Group 1-29,HTTP Request,184,Success,19902,116,172,120
144,52:02.6,Thread Group 1-29,HTTP Request,202,Success,19902,116,168,103
145,52:02.7,Thread Group 1-30,HTTP Request,445,Success,19902,116,401,129
146,52:02.8,Thread Group 1-29,HTTP Request,420,Success,19902,116,392,132
147,52:03.1,Thread Group 1-30,HTTP Request,393,Success,19906,116,357,99
148,52:03.3,Thread Group 1-31,HTTP Request,384,Success,19902,116,338,76
149,52:03.5,Thread Group 1-30,HTTP Request,407,Success,19906,116,401,129
150,52:03.6,Thread Group 1-31,HTTP Request,377,Success,19906,116,365,94
151,52:03.9,Thread Group 1-32,HTTP Request,202,Success,19902,116,163,112
152,52:04.0,Thread Group 1-31,HTTP Request,214,Success,19902,116,148,90
153,52:04.1,Thread Group 1-32,HTTP Request,208,Success,19906,116,176,112
154,52:03.9,Thread Group 1-30,HTTP Request,392,Success,19902,116,359,104
155,52:04.2,Thread Group 1-31,HTTP Request,165,Success,19906,116,136,88
156,52:04.3,Thread Group 1-32,HTTP Request,177,Success,19906,116,150,102
157,52:04.3,Thread Group 1-30,HTTP Request,181,Success,19902,116,140,88
158,52:04.4,Thread Group 1-31,HTTP Request,193,Success,19902,116,155,97
159,52:04.5,Thread Group 1-32,HTTP Request,544,Success,19902,116,513,86
160,52:04.5,Thread Group 1-33,HTTP Request,549,Success,19902,116,507,103
161,52:05.0,Thread Group 1-32,HTTP Request,290,Success,19902,116,252,190
162,52:05.0,Thread Group 1-33,HTTP Request,701,Success,19902,116,652,221
163,52:05.1,Thread Group 1-34,HTTP Request,663,Success,19902,116,607,192
164,52:05.7,Thread Group 1-35,HTTP Request,437,Success,19902,116,432,107
165,52:05.7,Thread Group 1-33,HTTP Request,384,Success,19902,116,383,84
166,52:05.7,Thread Group 1-34,HTTP Request,376,Success,19902,116,372,103
167,52:06.1,Thread Group 1-35,HTTP Request,166,Success,19902,116,140,93
168,52:06.1,Thread Group 1-34,HTTP Request,188,Success,19902,116,138,89
169,52:06.3,Thread Group 1-36,HTTP Request,137,Success,19902,116,129,86
170,52:06.1,Thread Group 1-33,HTTP Request,380,Success,19902,116,353,91
171,52:06.4,Thread Group 1-36,HTTP Request,221,Success,19902,116,135,93
172,52:06.3,Thread Group 1-35,HTTP Request,397,Success,19902,116,365,89
173,52:06.3,Thread Group 1-34,HTTP Request,413,Success,19902,116,359,99
174,52:06.5,Thread Group 1-33,HTTP Request,242,Success,19902,116,194,145
175,52:06.6,Thread Group 1-36,HTTP Request,168,Success,19902,116,137,87
176,52:06.7,Thread Group 1-35,HTTP Request,157,Success,19902,116,127,87
177,52:06.7,Thread Group 1-34,HTTP Request,173,Success,19902,116,138,87
178,52:06.8,Thread Group 1-36,HTTP Request,164,Success,19902,116,126,82
179,52:06.8,Thread Group 1-35,HTTP Request,396,Success,19906,116,352,83
180,52:06.9,Thread Group 1-37,HTTP Request,389,Success,19902,116,360,95
181,52:07.0,Thread Group 1-36,HTTP Request,398,Success,19902,116,368,110
182,52:07.3,Thread Group 1-37,HTTP Request,164,Success,19902,116,136,93
183,52:07.4,Thread Group 1-37,HTTP Request,181,Success,19902,116,171,114
184,52:07.6,Thread Group 1-37,HTTP Request,166,Success,19902,116,140,90
185,52:07.5,Thread Group 1-38,HTTP Request,350,Success,19902,116,341,83
186,52:07.8,Thread Group 1-37,HTTP Request,169,Success,19902,116,130,84
187,52:07.8,Thread Group 1-38,HTTP Request,380,Success,19902,116,347,85
188,52:08.1,Thread Group 1-39,HTTP Request,198,Success,19902,116,158,108
189,52:08.2,Thread Group 1-38,HTTP Request,157,Success,19902,116,127,81
190,52:08.3,Thread Group 1-39,HTTP Request,164,Success,19902,116,128,88
191,52:08.4,Thread Group 1-39,HTTP Request,162,Success,19902,116,132,85
192,52:08.4,Thread Group 1-38,HTTP Request,473,Success,19902,116,365,93
193,52:08.6,Thread Group 1-39,HTTP Request,294,Success,19902,116,262,115
194,52:08.7,Thread Group 1-40,HTTP Request,289,Success,19902,116,261,197
195,52:08.8,Thread Group 1-38,HTTP Request,177,Success,19902,116,147,85
196,52:08.9,Thread Group 1-39,HTTP Request,193,Success,19902,116,154,107
197,52:09.0,Thread Group 1-40,HTTP Request,188,Success,19902,116,132,78
198,52:09.1,Thread Group 1-40,HTTP Request,185,Success,19902,116,167,110
199,52:09.3,Thread Group 1-41,HTTP Request,165,Success,19902,116,136,87
200,52:09.4,Thread Group 1-41,HTTP Request,136,Success,19902,116,125,71
201,52:09.3,Thread Group 1-40,HTTP Request,391,Success,19902,116,366,103
202,52:09.6,Thread Group 1-41,HTTP Request,179,Success,19902,116,147,93
203,52:09.7,Thread Group 1-41,HTTP Request,181,Success,19902,116,143,95
204,52:09.9,Thread Group 1-42,HTTP Request,204,Success,19902,116,166,101
205,52:09.7,Thread Group 1-40,HTTP Request,388,Success,19902,116,352,88
206,52:09.9,Thread Group 1-41,HTTP Request,182,Success,19902,116,152,105
207,52:10.1,Thread Group 1-42,HTTP Request,193,Success,19906,116,162,95
208,52:10.3,Thread Group 1-42,HTTP Request,166,Success,19902,116,139,83
209,52:10.4,Thread Group 1-42,HTTP Request,132,Success,19902,116,123,84
210,52:10.6,Thread Group 1-42,HTTP Request,148,Success,19902,116,137,84
211,52:10.5,Thread Group 1-43,HTTP Request,369,Success,19902,116,354,94
212,52:10.8,Thread Group 1-43,HTTP Request,135,Success,19902,116,125,81
213,52:11.0,Thread Group 1-43,HTTP Request,172,Success,19902,116,144,97
214,52:11.1,Thread Group 1-44,HTTP Request,162,Success,19902,116,134,91
215,52:11.1,Thread Group 1-43,HTTP Request,207,Success,19902,116,156,93
216,52:11.2,Thread Group 1-44,HTTP Request,195,Success,19902,116,158,108
217,52:11.3,Thread Group 1-43,HTTP Request,172,Success,19902,116,142,92
218,52:11.4,Thread Group 1-44,HTTP Request,494,Success,19902,116,491,93
219,52:11.7,Thread Group 1-45,HTTP Request,318,Success,19902,116,269,106
220,52:11.9,Thread Group 1-44,HTTP Request,389,Success,19902,116,361,100
221,52:12.0,Thread Group 1-45,HTTP Request,414,Success,19902,116,377,105
222,52:12.3,Thread Group 1-44,HTTP Request,187,Success,19902,116,149,98
223,52:12.4,Thread Group 1-45,HTTP Request,157,Success,19902,116,128,85
224,52:12.3,Thread Group 1-46,HTTP Request,392,Success,19902,116,357,101
225,52:12.6,Thread Group 1-45,HTTP Request,175,Success,19902,116,146,101
226,52:12.7,Thread Group 1-45,HTTP Request,167,Success,19902,116,140,88
227,52:12.9,Thread Group 1-47,HTTP Request,162,Success,19902,116,130,83
228,52:12.7,Thread Group 1-46,HTTP Request,387,Success,19906,116,358,96
229,52:13.0,Thread Group 1-47,HTTP Request,390,Success,19902,116,346,295
230,52:13.0,Thread Group 1-46,HTTP Request,579,Success,19906,116,544,275
231,52:13.5,Thread Group 1-48,HTTP Request,161,Success,19902,116,152,100
232,52:13.4,Thread Group 1-47,HTTP Request,413,Success,19902,116,363,100
233,52:13.6,Thread Group 1-48,HTTP Request,309,Success,19906,116,208,124
234,52:13.6,Thread Group 1-46,HTTP Request,415,Success,19902,116,396,129
235,52:13.8,Thread Group 1-47,HTTP Request,251,Success,19902,116,216,168
236,52:13.9,Thread Group 1-48,HTTP Request,186,Success,19902,116,155,114
237,52:14.0,Thread Group 1-46,HTTP Request,611,Success,19906,116,556,91
238,52:14.1,Thread Group 1-49,HTTP Request,591,Success,19906,116,531,72
239,52:14.1,Thread Group 1-48,HTTP Request,533,Success,19906,116,477,83
240,52:14.1,Thread Group 1-47,HTTP Request,573,Success,19906,116,516,77
241,52:14.7,Thread Group 1-48,HTTP Request,167,Success,19902,116,137,94
242,52:14.7,Thread Group 1-49,HTTP Request,170,Success,19902,116,145,104
243,52:14.7,Thread Group 1-50,HTTP Request,179,Success,19906,116,144,101
244,52:14.8,Thread Group 1-49,HTTP Request,148,Success,19902,116,115,74
245,52:14.8,Thread Group 1-50,HTTP Request,167,Success,19902,116,139,93
246,52:15.0,Thread Group 1-49,HTTP Request,144,Success,19902,116,133,83
247,52:15.0,Thread Group 1-50,HTTP Request,223,Success,19902,116,132,78
248,52:15.1,Thread Group 1-49,HTTP Request,302,Success,19906,116,248,182
249,52:15.3,Thread Group 1-51,HTTP Request,496,Success,19906,116,459,117
250,52:15.3,Thread Group 1-50,HTTP Request,496,Success,19906,116,461,120
