 Sample #,Start Time,Thread Name,Label,Sample Time (ms),Status,Bytes,Sent Bytes,Latency,Connect Time (ms)
251,52:15.8,Thread Group 1-50,HTTP Request,213,Success,19902,116,208,130
252,52:15.8,Thread Group 1-51,HTTP Request,474,Success,19902,116,472,112
253,52:15.9,Thread Group 1-52,HTTP Request,386,Success,19902,116,374,107
254,52:16.2,Thread Group 1-51,HTTP Request,346,Success,19902,116,335,77
255,52:16.5,Thread Group 1-53,HTTP Request,172,Success,19902,116,146,97
256,52:16.2,Thread Group 1-52,HTTP Request,408,Success,19902,116,372,96
257,52:16.7,Thread Group 1-52,HTTP Request,148,Success,19902,116,119,70
258,52:16.6,Thread Group 1-53,HTTP Request,172,Success,19902,116,141,82
259,52:16.6,Thread Group 1-51,HTTP Request,373,Success,19902,116,341,90
260,52:16.8,Thread Group 1-53,HTTP Request,218,Success,19902,116,172,116
261,52:16.8,Thread Group 1-52,HTTP Request,461,Success,19902,116,385,119
262,52:17.0,Thread Group 1-53,HTTP Request,242,Success,19902,116,215,116
263,52:17.1,Thread Group 1-54,HTTP Request,230,Success,19902,116,195,92
264,52:17.0,Thread Group 1-51,HTTP Request,421,Success,19902,116,373,92
265,52:17.3,Thread Group 1-53,HTTP Request,227,Success,19902,116,196,111
266,52:17.3,Thread Group 1-54,HTTP Request,208,Success,19902,116,177,107
267,52:17.3,Thread Group 1-52,HTTP Request,453,Success,19902,116,392,115
268,52:17.5,Thread Group 1-54,HTTP Request,223,Success,19902,116,173,95
269,52:17.7,Thread Group 1-55,HTTP Request,178,Success,19902,116,148,100
270,52:17.7,Thread Group 1-54,HTTP Request,151,Success,19902,116,127,84
271,52:17.8,Thread Group 1-55,HTTP Request,186,Success,19902,116,147,95
272,52:17.9,Thread Group 1-54,HTTP Request,189,Success,19902,116,151,87
273,52:18.0,Thread Group 1-55,HTTP Request,176,Success,19902,116,141,93
274,52:18.3,Thread Group 1-56,HTTP Request,162,Success,19902,116,119,73
275,52:18.2,Thread Group 1-55,HTTP Request,421,Success,19902,116,379,105
276,52:18.4,Thread Group 1-56,HTTP Request,204,Success,19902,116,172,113
277,52:18.6,Thread Group 1-56,HTTP Request,178,Success,19906,116,150,104
278,52:18.6,Thread Group 1-55,HTTP Request,180,Success,19902,116,151,105
279,52:18.8,Thread Group 1-56,HTTP Request,177,Success,19902,116,140,82
280,52:18.9,Thread Group 1-57,HTTP Request,177,Success,19902,116,149,98
281,52:19.0,Thread Group 1-57,HTTP Request,364,Success,19902,116,323,253
282,52:19.0,Thread Group 1-56,HTTP Request,427,Success,19902,116,418,153
283,52:19.4,Thread Group 1-57,HTTP Request,172,Success,19902,116,144,84
284,52:19.6,Thread Group 1-57,HTTP Request,147,Success,19902,116,122,69
285,52:19.5,Thread Group 1-58,HTTP Request,388,Success,19902,116,353,89
286,52:19.7,Thread Group 1-57,HTTP Request,186,Success,19902,116,159,101
287,52:19.8,Thread Group 1-58,HTTP Request,185,Success,19902,116,157,104
288,52:20.1,Thread Group 1-59,HTTP Request,474,Success,19902,116,471,91
289,52:20.0,Thread Group 1-58,HTTP Request,499,Success,19902,116,495,88
290,52:20.5,Thread Group 1-58,HTTP Request,158,Success,19902,116,150,102
291,52:20.5,Thread Group 1-59,HTTP Request,161,Success,19902,116,152,96
292,52:20.7,Thread Group 1-60,HTTP Request,164,Success,19902,116,134,88
293,52:20.7,Thread Group 1-58,HTTP Request,154,Success,19902,116,144,98
294,52:20.8,Thread Group 1-60,HTTP Request,168,Success,19902,116,138,90
295,52:20.7,Thread Group 1-59,HTTP Request,370,Success,19902,116,359,95
296,52:21.0,Thread Group 1-60,HTTP Request,367,Success,19906,116,355,94
297,52:21.3,Thread Group 1-61,HTTP Request,167,Success,19902,116,140,88
298,52:21.1,Thread Group 1-59,HTTP Request,388,Success,19902,116,353,91
299,52:21.4,Thread Group 1-60,HTTP Request,198,Success,19902,116,149,102
300,52:21.4,Thread Group 1-61,HTTP Request,174,Success,19902,116,143,84
301,52:21.5,Thread Group 1-59,HTTP Request,198,Success,19902,116,160,117
302,52:21.6,Thread Group 1-61,HTTP Request,163,Success,19902,116,133,83
303,52:21.6,Thread Group 1-60,HTTP Request,184,Success,19902,116,148,92
304,52:21.8,Thread Group 1-61,HTTP Request,170,Success,19902,116,138,90
305,52:21.9,Thread Group 1-62,HTTP Request,183,Success,19902,116,142,85
306,52:22.0,Thread Group 1-61,HTTP Request,167,Success,19906,116,137,96
307,52:22.0,Thread Group 1-62,HTTP Request,169,Success,19902,116,141,93
308,52:22.2,Thread Group 1-62,HTTP Request,197,Success,19902,116,149,96
309,52:22.4,Thread Group 1-62,HTTP Request,193,Success,19906,116,155,98
310,52:22.5,Thread Group 1-63,HTTP Request,192,Success,19902,116,163,113
311,52:22.6,Thread Group 1-62,HTTP Request,164,Success,19902,116,134,86
312,52:22.7,Thread Group 1-63,HTTP Request,457,Success,19902,116,411,90
313,52:23.1,Thread Group 1-64,HTTP Request,443,Success,19902,116,440,127
314,52:23.1,Thread Group 1-63,HTTP Request,406,Success,19902,116,396,111
315,52:23.5,Thread Group 1-63,HTTP Request,164,Success,19902,116,158,94
316,52:23.7,Thread Group 1-65,HTTP Request,175,Success,19902,116,147,93
317,52:23.5,Thread Group 1-64,HTTP Request,371,Success,19902,116,361,97
318,52:23.7,Thread Group 1-63,HTTP Request,191,Success,19902,116,160,111
319,52:23.8,Thread Group 1-65,HTTP Request,179,Success,19906,116,148,79
320,52:23.9,Thread Group 1-64,HTTP Request,176,Success,19902,116,140,91
321,52:24.3,Thread Group 1-66,HTTP Request,177,Success,19906,116,145,89
322,52:24.0,Thread Group 1-65,HTTP Request,512,Success,19902,116,471,210
323,52:24.1,Thread Group 1-64,HTTP Request,464,Success,19902,116,420,162
324,52:24.4,Thread Group 1-66,HTTP Request,172,Success,19902,116,138,94
325,52:24.5,Thread Group 1-64,HTTP Request,164,Success,19906,116,135,88
326,52:24.5,Thread Group 1-65,HTTP Request,388,Success,19902,116,354,86
327,52:24.6,Thread Group 1-66,HTTP Request,369,Success,19902,116,340,86
328,52:24.9,Thread Group 1-67,HTTP Request,390,Success,19902,116,366,107
329,52:24.9,Thread Group 1-65,HTTP Request,395,Success,19902,116,370,82
330,52:25.0,Thread Group 1-66,HTTP Request,411,Success,19906,116,398,123
331,52:25.3,Thread Group 1-67,HTTP Request,147,Success,19906,116,141,86
332,52:25.4,Thread Group 1-66,HTTP Request,163,Success,19902,116,145,104
333,52:25.5,Thread Group 1-68,HTTP Request,194,Success,19906,116,148,95
334,52:25.4,Thread Group 1-67,HTTP Request,363,Success,19902,116,355,98
335,52:25.8,Thread Group 1-67,HTTP Request,147,Success,19902,116,121,72
336,52:25.7,Thread Group 1-68,HTTP Request,445,Success,19902,116,415,104
337,52:25.9,Thread Group 1-67,HTTP Request,250,Success,19902,116,213,169
338,52:26.1,Thread Group 1-69,HTTP Request,551,Success,19902,116,512,76
339,52:26.1,Thread Group 1-68,HTTP Request,511,Success,19902,116,465,83
340,52:26.6,Thread Group 1-69,HTTP Request,361,Success,19902,116,324,270
341,52:26.6,Thread Group 1-68,HTTP Request,374,Success,19902,116,317,262
342,52:27.0,Thread Group 1-69,HTTP Request,154,Success,19902,116,127,78
343,52:26.7,Thread Group 1-70,HTTP Request,568,Success,19902,116,528,278
344,52:27.1,Thread Group 1-69,HTTP Request,166,Success,19902,116,129,74
345,52:27.0,Thread Group 1-68,HTTP Request,375,Success,19902,116,358,86
346,52:27.2,Thread Group 1-70,HTTP Request,166,Success,19902,116,140,91
347,52:27.3,Thread Group 1-71,HTTP Request,184,Success,19902,116,159,112
348,52:27.4,Thread Group 1-70,HTTP Request,173,Success,19902,116,139,81
349,52:27.4,Thread Group 1-71,HTTP Request,172,Success,19902,116,144,95
350,52:27.3,Thread Group 1-69,HTTP Request,382,Success,19902,116,352,89
351,52:27.6,Thread Group 1-70,HTTP Request,163,Success,19906,116,135,84
352,52:27.7,Thread Group 1-70,HTTP Request,262,Success,19902,116,205,98
353,52:27.6,Thread Group 1-71,HTTP Request,408,Success,19902,116,382,100
354,52:27.9,Thread Group 1-72,HTTP Request,237,Success,19902,116,201,152
355,52:28.0,Thread Group 1-71,HTTP Request,181,Success,19902,116,151,99
356,52:28.2,Thread Group 1-71,HTTP Request,293,Success,19902,116,252,208
357,52:28.1,Thread Group 1-72,HTTP Request,406,Success,19906,116,364,93
358,52:28.5,Thread Group 1-72,HTTP Request,185,Success,19902,116,150,96
359,52:28.5,Thread Group 1-73,HTTP Request,397,Success,19902,116,359,97
360,52:28.7,Thread Group 1-72,HTTP Request,199,Success,19902,116,156,109
361,52:28.9,Thread Group 1-73,HTTP Request,183,Success,19902,116,135,80
362,52:28.9,Thread Group 1-72,HTTP Request,192,Success,19902,116,157,103
363,52:29.1,Thread Group 1-74,HTTP Request,244,Success,19902,116,170,92
364,52:29.0,Thread Group 1-73,HTTP Request,259,Success,19902,116,150,98
365,52:29.3,Thread Group 1-74,HTTP Request,202,Success,19902,116,153,103
366,52:29.5,Thread Group 1-74,HTTP Request,182,Success,19902,116,146,90
367,52:29.3,Thread Group 1-73,HTTP Request,398,Success,19902,116,363,100
368,52:29.7,Thread Group 1-75,HTTP Request,189,Success,19902,116,132,89
369,52:29.7,Thread Group 1-74,HTTP Request,176,Success,19902,116,137,81
370,52:29.7,Thread Group 1-73,HTTP Request,173,Success,19902,116,128,82
371,52:29.8,Thread Group 1-75,HTTP Request,170,Success,19902,116,127,78
372,52:29.9,Thread Group 1-74,HTTP Request,189,Success,19902,116,146,89
373,52:30.0,Thread Group 1-75,HTTP Request,185,Success,19902,116,168,99
374,52:30.2,Thread Group 1-75,HTTP Request,152,Success,19902,116,138,91
375,52:30.3,Thread Group 1-76,HTTP Request,137,Success,19902,116,118,84
376,52:30.4,Thread Group 1-76,HTTP Request,332,Success,19902,116,319,275
377,52:30.4,Thread Group 1-75,HTTP Request,523,Success,19902,116,512,100
378,52:30.7,Thread Group 1-76,HTTP Request,201,Success,19902,116,165,100
379,52:30.9,Thread Group 1-77,HTTP Request,208,Success,19902,116,176,124
380,52:31.1,Thread Group 1-77,HTTP Request,149,Success,19902,116,136,89
381,52:30.9,Thread Group 1-76,HTTP Request,376,Success,19902,116,366,107
382,52:31.2,Thread Group 1-77,HTTP Request,151,Success,19906,116,138,89
383,52:31.4,Thread Group 1-77,HTTP Request,158,Success,19902,116,137,85
384,52:31.5,Thread Group 1-78,HTTP Request,145,Success,19902,116,136,89
385,52:31.5,Thread Group 1-77,HTTP Request,151,Success,19902,116,140,88
386,52:31.4,Thread Group 1-76,HTTP Request,362,Success,19902,116,355,86
387,52:31.6,Thread Group 1-78,HTTP Request,150,Success,19902,116,143,101
388,52:31.8,Thread Group 1-78,HTTP Request,177,Success,19902,116,157,98
389,52:32.1,Thread Group 1-79,HTTP Request,168,Success,19902,116,161,105
390,52:31.9,Thread Group 1-78,HTTP Request,359,Success,19902,116,350,83
391,52:32.2,Thread Group 1-79,HTTP Request,178,Success,19902,116,171,93
392,52:32.3,Thread Group 1-78,HTTP Request,172,Success,19902,116,163,108
393,52:32.4,Thread Group 1-79,HTTP Request,164,Success,19902,116,155,100
394,52:32.6,Thread Group 1-79,HTTP Request,150,Success,19902,116,144,86
395,52:32.7,Thread Group 1-80,HTTP Request,208,Success,19902,116,158,99
396,52:32.7,Thread Group 1-79,HTTP Request,189,Success,19902,116,153,96
397,52:32.9,Thread Group 1-80,HTTP Request,196,Success,19902,116,155,109
398,52:33.1,Thread Group 1-80,HTTP Request,147,Success,19902,116,138,84
399,52:33.2,Thread Group 1-80,HTTP Request,150,Success,19902,116,132,86
400,52:33.3,Thread Group 1-81,HTTP Request,202,Success,19902,116,165,98
401,52:33.4,Thread Group 1-80,HTTP Request,188,Success,19902,116,162,99
402,52:33.5,Thread Group 1-81,HTTP Request,460,Success,19902,116,428,95
403,52:33.9,Thread Group 1-81,HTTP Request,187,Success,19902,116,154,94
404,52:33.9,Thread Group 1-82,HTTP Request,400,Success,19902,116,369,94
405,52:34.1,Thread Group 1-81,HTTP Request,153,Success,19902,116,145,94
406,52:34.3,Thread Group 1-81,HTTP Request,176,Success,19902,116,123,81
407,52:34.3,Thread Group 1-82,HTTP Request,388,Success,19902,116,351,91
408,52:34.5,Thread Group 1-83,HTTP Request,398,Success,19906,116,361,99
409,52:34.6,Thread Group 1-82,HTTP Request,197,Success,19902,116,151,79
410,52:34.9,Thread Group 1-82,HTTP Request,201,Success,19902,116,145,88
411,52:35.1,Thread Group 1-84,HTTP Request,161,Success,19902,116,142,78
412,52:35.1,Thread Group 1-82,HTTP Request,157,Success,19902,116,148,83
413,52:34.9,Thread Group 1-83,HTTP Request,408,Success,19902,116,359,87
414,52:35.3,Thread Group 1-83,HTTP Request,164,Success,19902,116,156,107
415,52:35.4,Thread Group 1-83,HTTP Request,177,Success,19902,116,176,96
416,52:35.2,Thread Group 1-84,HTTP Request,404,Success,19906,116,388,111
417,52:35.6,Thread Group 1-84,HTTP Request,169,Success,19902,116,159,106
418,52:35.7,Thread Group 1-85,HTTP Request,148,Success,19902,116,138,89
419,52:35.8,Thread Group 1-85,HTTP Request,174,Success,19902,116,142,93
420,52:35.6,Thread Group 1-83,HTTP Request,379,Success,19902,116,361,104
421,52:35.8,Thread Group 1-84,HTTP Request,385,Success,19902,116,355,86
422,52:36.2,Thread Group 1-84,HTTP Request,199,Success,19902,116,161,112
423,52:36.0,Thread Group 1-85,HTTP Request,389,Success,19906,116,382,106
424,52:36.3,Thread Group 1-86,HTTP Request,491,Success,19902,116,450,102
425,52:36.4,Thread Group 1-85,HTTP Request,392,Success,19906,116,354,87
426,52:36.8,Thread Group 1-86,HTTP Request,261,Success,19902,116,228,95
427,52:36.8,Thread Group 1-85,HTTP Request,475,Success,19906,116,446,97
428,52:36.9,Thread Group 1-87,HTTP Request,483,Success,19902,116,458,182
429,52:37.0,Thread Group 1-86,HTTP Request,374,Success,19902,116,357,87
430,52:37.4,Thread Group 1-86,HTTP Request,186,Success,19902,116,155,100
431,52:37.6,Thread Group 1-86,HTTP Request,181,Success,19902,116,152,94
432,52:37.4,Thread Group 1-87,HTTP Request,387,Success,19902,116,358,94
433,52:37.5,Thread Group 1-88,HTTP Request,368,Success,19902,116,341,80
434,52:37.8,Thread Group 1-87,HTTP Request,166,Success,19902,116,139,87
435,52:37.9,Thread Group 1-87,HTTP Request,190,Success,19902,116,146,100
436,52:37.8,Thread Group 1-88,HTTP Request,399,Success,19902,116,344,80
437,52:38.1,Thread Group 1-87,HTTP Request,209,Success,19902,116,180,125
438,52:38.2,Thread Group 1-88,HTTP Request,197,Success,19902,116,154,104
439,52:38.1,Thread Group 1-89,HTTP Request,418,Success,19906,116,390,104
440,52:38.4,Thread Group 1-88,HTTP Request,172,Success,19906,116,145,84
441,52:38.6,Thread Group 1-88,HTTP Request,186,Success,19906,116,144,97
442,52:38.7,Thread Group 1-90,HTTP Request,171,Success,19902,116,141,90
443,52:38.5,Thread Group 1-89,HTTP Request,392,Success,19902,116,364,108
444,52:38.8,Thread Group 1-90,HTTP Request,179,Success,19906,116,134,81
445,52:38.9,Thread Group 1-89,HTTP Request,184,Success,19902,116,147,97
446,52:39.0,Thread Group 1-90,HTTP Request,132,Success,19902,116,128,70
447,52:39.1,Thread Group 1-90,HTTP Request,188,Success,19902,116,153,105
448,52:39.3,Thread Group 1-91,HTTP Request,199,Success,19902,116,162,93
449,52:39.1,Thread Group 1-89,HTTP Request,430,Success,19902,116,372,92
450,52:39.3,Thread Group 1-90,HTTP Request,179,Success,19902,116,151,91
451,52:39.5,Thread Group 1-91,HTTP Request,184,Success,19902,116,157,103
452,52:39.6,Thread Group 1-91,HTTP Request,158,Success,19902,116,149,96
453,52:39.5,Thread Group 1-89,HTTP Request,392,Success,19906,116,367,92
454,52:39.8,Thread Group 1-91,HTTP Request,176,Success,19906,116,167,93
455,52:40.0,Thread Group 1-91,HTTP Request,173,Success,19906,116,165,110
456,52:39.9,Thread Group 1-92,HTTP Request,358,Success,19902,116,346,72
457,52:40.2,Thread Group 1-92,HTTP Request,174,Success,19902,116,166,99
458,52:40.4,Thread Group 1-92,HTTP Request,187,Success,19906,116,152,85
459,52:40.5,Thread Group 1-93,HTTP Request,174,Success,19902,116,137,88
460,52:40.6,Thread Group 1-93,HTTP Request,213,Success,19902,116,171,104
461,52:40.6,Thread Group 1-92,HTTP Request,390,Success,19902,116,364,98
462,52:40.8,Thread Group 1-93,HTTP Request,206,Success,19902,116,166,112
463,52:41.1,Thread Group 1-93,HTTP Request,168,Success,19902,116,133,86
464,52:41.0,Thread Group 1-92,HTTP Request,380,Success,19902,116,353,90
465,52:41.2,Thread Group 1-93,HTTP Request,178,Success,19902,116,143,97
466,52:41.1,Thread Group 1-94,HTTP Request,381,Success,19902,116,343,80
467,52:41.7,Thread Group 1-95,HTTP Request,169,Success,19902,116,137,88
468,52:41.4,Thread Group 1-94,HTTP Request,410,Success,19902,116,374,102
469,52:41.8,Thread Group 1-95,HTTP Request,157,Success,19902,116,118,80
470,52:41.9,Thread Group 1-94,HTTP Request,169,Success,19902,116,137,87
471,52:42.0,Thread Group 1-95,HTTP Request,260,Success,19902,116,234,171
472,52:42.0,Thread Group 1-94,HTTP Request,237,Success,19902,116,202,139
473,52:42.3,Thread Group 1-96,HTTP Request,177,Success,19902,116,141,97
474,52:42.3,Thread Group 1-95,HTTP Request,382,Success,19902,116,349,87
475,52:42.3,Thread Group 1-94,HTTP Request,404,Success,19902,116,343,91
476,52:42.6,Thread Group 1-95,HTTP Request,178,Success,19906,116,143,92
477,52:42.4,Thread Group 1-96,HTTP Request,399,Success,19902,116,364,101
478,52:42.9,Thread Group 1-97,HTTP Request,185,Success,19902,116,148,97
479,52:43.0,Thread Group 1-97,HTTP Request,162,Success,19902,116,149,91
480,52:42.8,Thread Group 1-96,HTTP Request,388,Success,19902,116,347,81
481,52:43.2,Thread Group 1-97,HTTP Request,345,Success,19902,116,308,262
482,52:43.5,Thread Group 1-98,HTTP Request,174,Success,19906,116,146,97
483,52:43.6,Thread Group 1-97,HTTP Request,177,Success,19902,116,130,85
484,52:43.2,Thread Group 1-96,HTTP Request,550,Success,19902,116,514,244
485,52:43.6,Thread Group 1-98,HTTP Request,192,Success,19902,116,160,109
486,52:43.7,Thread Group 1-97,HTTP Request,182,Success,19902,116,136,88
487,52:43.8,Thread Group 1-96,HTTP Request,192,Success,19902,116,153,95
488,52:43.8,Thread Group 1-98,HTTP Request,203,Success,19902,116,174,114
489,52:44.0,Thread Group 1-98,HTTP Request,173,Success,19902,116,143,87
490,52:44.1,Thread Group 1-99,HTTP Request,200,Success,19902,116,173,117
491,52:44.2,Thread Group 1-98,HTTP Request,215,Success,19902,116,176,97
492,52:44.3,Thread Group 1-99,HTTP Request,216,Success,19902,116,178,126
493,52:44.7,Thread Group 1-100,HTTP Request,165,Success,19902,116,139,85
494,52:44.5,Thread Group 1-99,HTTP Request,505,Success,19902,116,471,215
495,52:44.8,Thread Group 1-100,HTTP Request,415,Success,19906,116,374,108
496,52:45.0,Thread Group 1-99,HTTP Request,396,Success,19902,116,385,115
497,52:45.2,Thread Group 1-100,HTTP Request,195,Success,19902,116,189,124
498,52:45.4,Thread Group 1-100,HTTP Request,136,Success,19906,116,124,81
499,52:45.6,Thread Group 1-100,HTTP Request,169,Success,19902,116,154,97
500,52:45.4,Thread Group 1-99,HTTP Request,368,Success,19902,116,348,87
